Unnamed: 0,categoria,asunto,preprocessed_text
0,TRANSPORTES,"Acciones concretas para fomentar, promocionar o incentivar entre las compañías aéreas el uso de la quinta libertad aérea y el territorio de canarias en 2021 y 2022, dirigida al sr. consejero de obras públicas, transportes y vivienda.","['acciones', 'concretas', 'fomentar', 'promocionar', 'incentivar', 'compañias', 'aereas', 'quinta', 'libertad', 'aerea', 'territorio', 'canarias', '2021', '2022', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
1,"AGRICULTURA, SILVICULTURA Y PESCA","Acciones en fitur 2022 para fomentar los productos agroalimentarios, dirigida a la sra. consejera de agricultura, ganadería y pesca.","['acciones', 'fitur', '2022', 'fomentar', 'productos', 'agroalimentarios', 'dirigida', 'consejera', 'agricultura', 'ganaderia', 'pesca']"
2,ASUNTOS SOCIALES,"Acciones llevadas a cabo para la promoción del acogimiento familiar en todas sus modalidades, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","['acciones', 'llevadas', 'cabo', 'promocion', 'acogimiento', 'familiar', 'modalidades', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']"
3,EDUCACIÓN Y COMUNICACIÓN,"Acciones para desarrollar el plan de frutas y verduras en los centros educativos en este curso 2021/2022, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","['acciones', 'desarrollar', 'plan', 'frutas', 'verduras', 'centros', 'educativos', 'curso', '20212022', 'dirigida', 'consejera', 'educacion', 'universidades', 'cultura', 'deportes']"
4,EDUCACIÓN Y COMUNICACIÓN,"Acciones para disminuir la brecha científica y tecnológica en el mundo rural, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","['acciones', 'disminuir', 'brecha', 'cientifica', 'tecnologica', 'mundo', 'rural', 'dirigida', 'consejera', 'educacion', 'universidades', 'cultura', 'deportes']"
5,ASUNTOS SOCIALES,"Acciones para la atención e intervención con menores en riesgo de exclusión social durante 2021, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","['acciones', 'atencion', 'intervencion', 'menores', 'riesgo', 'exclusion', 'social', '2021', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']"
6,ASUNTOS SOCIALES,"Acciones previstas para la atención e intervención con menores en riesgo de exclusión social durante 2022, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","['acciones', 'previstas', 'atencion', 'intervencion', 'menores', 'riesgo', 'exclusion', 'social', '2022', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']"
7,ASUNTOS SOCIALES,"Acciones que se están llevando a cabo para la atención a jóvenes extutelados, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","['acciones', 'llevando', 'cabo', 'atencion', 'jovenes', 'extutelados', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']"
8,INTERCAMBIOS ECONÓMICOS Y COMERCIALES,"Acciones que se están llevando a cabo para reactivar el comercio en 2022, dirigida a la sra. consejera de turismo, industria y comercio.","['acciones', 'llevando', 'cabo', 'reactivar', 'comercio', '2022', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']"
9,ASUNTOS SOCIALES,"Acciones que se han desarrollado para la realización de los protocolos contra la mutilación genital femenina, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","['acciones', 'desarrollado', 'realizacion', 'protocolos', 'mutilacion', 'genital', 'femenina', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']"
10,ASUNTOS FINANCIEROS,"Acciones que se llevaron a cabo para atraer empresas e inversión del reino unido a raíz del brexit durante 2019, 2020, 2021, dirigida al sr. consejero de hacienda, presupuestos y asuntos europeos.","['acciones', 'llevaron', 'cabo', 'atraer', 'empresas', 'inversion', 'reino', 'unido', 'raiz', 'brexit', '2019', '2020', '2021', 'dirigida', 'consejero', 'hacienda', 'presupuestos', 'asuntos', 'europeos']"
11,MEDIO AMBIENTE,"Acciones realizadas en el compromiso con la reducción de las emisiones generadas por las actividades vinculadas al turismo, dentro de los objetivos de la estrategia canarias destino, dirigida a la sra. consejera de turismo, industria y comercio.","['acciones', 'realizadas', 'compromiso', 'reduccion', 'emisiones', 'generadas', 'actividades', 'vinculadas', 'turismo', 'objetivos', 'estrategia', 'canarias', 'destino', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']"
12,ECONOMÍA,"Acciones, ayudas y programas específicos para fuerteventura y lanzarote llevados a cabo para evitar el desplome de la economía de estas islas durante 2020 y 2021, dirigida a la sra. consejera de economía, conocimiento y empleo.","['acciones', 'ayudas', 'programas', 'especificos', 'fuerteventura', 'lanzarote', 'llevados', 'cabo', 'evitar', 'desplome', 'economia', 'islas', '2020', '2021', 'dirigida', 'consejera', 'economia', 'conocimiento', 'empleo']"
13,TRANSPORTES,"Acogimiento a subvenciones del transporte de mercancías interinsular por parte de las empresas de economía circular, dirigida a la sra. consejera de economía, conocimiento y empleo.","['acogimiento', 'subvenciones', 'transporte', 'mercancias', 'interinsular', 'empresas', 'economia', 'circular', 'dirigida', 'consejera', 'economia', 'conocimiento', 'empleo']"
14,ASUNTOS SOCIALES,"Activación de un servicio a menores con graves trastornos de conducta financiado con 4,2 millones de euros para 14 plazas, dirigida al sr. consejero de sanidad.","['activacion', 'servicio', 'menores', 'graves', 'trastornos', 'conducta', 'financiado', '42', 'millones', 'euros', '14', 'plazas', 'dirigida', 'consejero', 'sanidad']"
15,INDUSTRIA,"Actuaciones a realizar en el puerto de órzola, haría, dirigida al sr. consejero de obras públicas, transportes y vivienda.","['actuaciones', 'puerto', 'orzola', 'haria', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
16,MEDIO AMBIENTE,"Actuaciones en la mejora del frente marítimo desde la basílica hasta el parking del muelle en candelaria, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","['actuaciones', 'mejora', 'frente', 'maritimo', 'basilica', 'parking', 'muelle', 'candelaria', 'dirigida', 'consejero', 'transicion', 'ecologica', 'lucha', 'cambio', 'climatico', 'planificacion', 'territorial']"
17,"AGRICULTURA, SILVICULTURA Y PESCA","Actuaciones en relación a los pescadores de recreo que acusan movilidad reducida para que cuenten con lugares habilitados para la práctica de su actividad, dirigida a la sra. consejera de agricultura, ganadería y pesca.","['actuaciones', 'relacion', 'pescadores', 'recreo', 'acusan', 'movilidad', 'reducida', 'cuenten', 'lugares', 'habilitados', 'practica', 'actividad', 'dirigida', 'consejera', 'agricultura', 'ganaderia', 'pesca']"
18,TRANSPORTES,"Actuaciones incluidas en el anexo i del convenio de carreteras 2018-2027 que serán priorizadas y financiadas para el hierro, dirigida al sr. consejero de obras públicas, transportes y vivienda.","['actuaciones', 'incluidas', 'anexo', 'convenio', 'carreteras', '20182027', 'seran', 'priorizadas', 'financiadas', 'hierro', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
19,TRANSPORTES,"Actuaciones incluidas en el anexo i del convenio de carreteras 2018-2027 que serán priorizadas y financiadas para fuerteventura, dirigida al sr. consejero de obras públicas, transportes y vivienda.","['actuaciones', 'incluidas', 'anexo', 'convenio', 'carreteras', '20182027', 'seran', 'priorizadas', 'financiadas', 'fuerteventura', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
