Unnamed: 0,Tipo de accidente,Descripción del accidente,preprocessed_text
0,Colisión de vehículos,Accidente entre 3 vehículos por alcance que se encuentran ocupando el carril derecho. Ocupantes con ansiedad atendidos por el SAMUR y dados de alta en el punto.,"['accidente', '3', 'vehiculos', 'alcance', 'encuentran', 'ocupando', 'carril', 'derecho', 'ocupantes', 'ansiedad', 'atendidos', 'samur', 'dados', 'alta', 'punto']"
1,Colisión de vehículos,Accidente entre 2 vehículos por alcance que se encuentran ocupando el carril derecho fuera de zona. 1 herido trasladado al hospital. Policía Municipal comunica al vigilante que se puede retirar del punto.,"['accidente', '2', 'vehiculos', 'alcance', 'encuentran', 'ocupando', 'carril', 'derecho', 'zona', '1', 'herido', 'trasladado', 'hospital', 'policia', 'municipal', 'comunica', 'vigilante', 'retirar', 'punto']"
2,Colisión de vehículos,Accidente entre 2 vehículos por alcance que se encuentran ocupando el carril izquierdo despues de colisonar contra las barreras. ,"['accidente', '2', 'vehiculos', 'alcance', 'encuentran', 'ocupando', 'carril', 'izquierdo', 'colisonar', 'barreras']"
3,Colisión de vehículos,"Accidente entre 2 vehículos por alcance que se encuentran ocupando el arcén derecho, ambos se retiran del punto por sus medios cuando llega el vigilante.","['accidente', '2', 'vehiculos', 'alcance', 'encuentran', 'ocupando', 'arcen', 'derecho', 'retiran', 'punto', 'medios', 'llega', 'vigilante']"
4,Salida de vía,Accidente de 1 vehículo por salida de vía que colisiona contra un muro de hormigón causando daños en él.,"['accidente', '1', 'vehiculo', 'salida', 'via', 'colisiona', 'muro', 'hormigon', 'causando', 'daños']"
5,Salida de vía,Accidente de 1 vehículo por salida de vía que colisiona contra las barreras causando daños en ellas.,"['accidente', '1', 'vehiculo', 'salida', 'via', 'colisiona', 'barreras', 'causando', 'daños']"
6,Vuelco,Accidente de 1 vehículo por vuelco que colisiona contra señales y balizamiento causandoles daños. El ocupante del vehículo no quiere ser atendido por el Samur alegando que se encuentra bien.,"['accidente', '1', 'vehiculo', 'vuelco', 'colisiona', 'señales', 'balizamiento', 'causandoles', 'daños', 'ocupante', 'vehiculo', 'atendido', 'samur', 'alegando']"
7,Salida de vía,"Accidente de 1 vehículo por salida de vía, este sufre un trompo y se retira del punto por sus medios antes de la llegada de los AIAM Valencia.","['accidente', '1', 'vehiculo', 'salida', 'via', 'sufre', 'trompo', 'retira', 'punto', 'medios', 'llegada', 'aiam', 'valencia']"
8,Salida de vía,"Accidente de 1 vehículo por salida de vía, este sufre una colision contra la barrera del lado derecho causando daños en ella. 1 herido trasladado al hospital por el SUMMA.","['accidente', '1', 'vehiculo', 'salida', 'via', 'sufre', 'colision', 'barrera', 'derecho', 'causando', 'daños', '1', 'herido', 'trasladado', 'hospital', 'summa']"
9,Salida de vía,"Accidente de 1 vehículo por salida de vía, este sufre una colision contra el muro de hormigón del lado izquierdo causando daños en él.","['accidente', '1', 'vehiculo', 'salida', 'via', 'sufre', 'colision', 'muro', 'hormigon', 'izquierdo', 'causando', 'daños']"
10,Colisión de vehículos,Accidente entre 2 vehículos por alcance que se encuentran ocupando el carril izquierdo hasta que Policía Municipal los retira al tablero de M. Corbera. Sin heridos.,"['accidente', '2', 'vehiculos', 'alcance', 'encuentran', 'ocupando', 'carril', 'izquierdo', 'policia', 'municipal', 'retira', 'tablero', 'corbera', 'heridos']"
